Year,Lake_Name,Town,Ice_Out
2016,Alamoosook Lake,Orland,3/12/2016
2016,Allagash Lake,"T7 R14 WELS, T8 R14 WELS",5/8/2016
2016,Androscoggin Lake,"Wayne, Leeds",3/19/2016
2016,Annabessacook Lake,"Monmouth, Winthrop",3/18/2016
2016,Aziscohos Lake,"Lincoln Plt, Parkertown Twp., Lynchtown Twp.",4/25/2016
2016,Baker Lake,T7 R17 WELS,5/7/2016
2016,Baskahegan Lake,"Brookton, Topsfield",4/7/2016
2016,Big Lake,"Princeton, Grand Lake Str,, Big Lake Twp, Greenlaw Chopping Twp",3/29/2016
2016,Big Wood Pond,"Attean, Jackman",4/23/2016
2016,Biscay Pond (and Little Pond),"Bristol, Breman, Damariscotta",3/14/2016
2016,Cathance Lake,"Cooper, No 14 TWP",3/13/2016
2016,Center Pond,Sangerville,4/8/2016
2016,Chamberlain Lake,"T6 R11 WELS, T6 R12 WELS, T7 R12 WELS, T7 R13 WELS,",5/4/2016
2016,Chesuncook Lake,"Chesuncook Twp, T4 R12 WELS, T4 R13 WELS, T3 R12 WELS, T3R13 WELS, T2 R12 WELS",4/30/2016
2016,China Lake,"China, Vassalboro",3/16/2016
2016,Churchill Lake,T9 R12 WELS,5/6/2016
2016,Clary Lake,"Whitefield, Jefferson",3/13/2016
2016,Cobbossee Lake,"Monmouth, W. Gardiner, Winthrop, Manchester, Litchfield",3/16/2016
2016,Cold Stream Pond,Enfield,3/31/2016
2016,Crawford Lake,Crawford,3/12/2016
2016,Cross Lake,"Cross Lake Twp., T16 R5 WELS",5/8/2016
2016,Damariscotta Lake,"Jefferson, Nobleboro",3/14/2016
2016,Eagle Lake,"Eagle Lake Twp, Soper Mtn Twp., T7 R12 WELS",5/6/2016
2016,Eagle Lake,Eagle Lake,5/8/2016
2016,Eagle Lake,Bar Harbor,3/1/2016
2016,Embden Pond,Embden,4/14/2016
2016,Fields Pond,Orrington,3/11/2016
2016,Flying Pond,"Vienna, Mt. Vernon",4/4/2016
2016,Gardner Lake,E. Machias,3/2/2016
2016,Great Moose Lake,"Hartland, Harmony",4/7/2016
2016,Great Pond,"Belgrade, Rome",3/29/2016
2016,Green Lake,"Ellsworth, Dedham",3/16/2016
2016,Hadley Lake,East Machias,3/11/2016
2016,Hopkins Pond,"Mariaaville, Clifton",3/19/2016
2016,Indian Pond,"Indian Stream Twp, Sapling Twp, Big Moose Twp.",4/21/2016
2016,Keenes Lake,Calais,3/23/2016
2016,Kennebunk Pond,Lyman,3/11/2016
2016,Kezar Lake,Lovell,4/5/2016
2016,Kingsbury Pond,"Kingsbury, Mayfield",4/19/2016
2016,Labrador Pond (Big),Sumner,3/29/2016
2016,Lake Arrowhead,N. Waterboro,3/17/2016
2016,Lake Auburn,Auburn,3/18/2016
2016,Lake Minnehonk,Mt. Vernon,4/2/2016
2016,Lake Pennessewassee,Norway,3/29/2016
2016,Lake St. George,Liberty,3/14/2016
2016,Lake Wassookeag,Dexter,4/8/2016
2016,Little Ossipee,East Waterboro,3/13/2016
2016,Little Pond,Liberty,3/12/2016
2016,Little Sebago Lake,"Gray, Windham",3/14/2016
2016,Little Wassokeag Lake,Dexter,4/3/2016
2016,Lobster Lake,"Lobster Twp, NE Carry Twp.",4/21/2016
2016,Long Lake,"St. Agatha, Sinclair",5/10/2016
2016,Long Lake,"Naples, Bridgton, Harrison",3/18/2016
2016,Long Pond,T10SD BPP,3/11/2016
2016,Long Pond,Mount Desert,3/1/2016
2016,Lovewell Pond,Fryeburg,3/21/2016
2016,Lower Range Pond,Poland,3/17/2016
2016,Maranacook Lake,"Winthrop, Readfield",3/21/2016
2016,Mayfield Pond,"Mayfield, Brighton Plt.",4/19/2016
2016,Meddybemps Lake,"Meddybemps, Alexander, Baring Plt., Baileyville",3/12/2016
2016,Middle Range Pond,Poland,3/17/2016
2016,Millinocket Lake,Millinocket area,4/22/2016
2016,Moosehead Lake,"Greenville, Rockwood, Lily Bay, NE Carry Twp.",4/23/2016
2016,Mooselookmeguntic Lake,"Adamstown, Rangeley, Rangeley Plt.,Richardsontown Twp.",4/23/2016
2016,Morrill Pond,Hartland,3/29/2016
2016,Mousam Lake,Shapleigh. Acton,3/16/2016
2016,Moxie Lake,"The Forks, E. Moxie Twp.",4/21/2016
2016,Nashes Lake,Calais,3/23/2016
2016,Nesowadnehunk Lake,"Nesowadnehunk Twp, T5 R11 WELS, T4 R11 WELS, T4 R10 WELS",4/21/2016
2016,Nickerson Lake,"New Limerick, Linneus",4/20/2016
2016,North Pond,"Mercer, Smithfield, Rome",3/29/2016
2016,Paradise Pond (aka Muddy P),Damariscotta,2/29/2016
2016,Parkers Pond (aka - Barkers Pond),Lyman,3/11/2016
2016,Pattee Pond,Winslow,3/13/2016
